,DISTANCE,SendTech,INFUEL,INTECH,OUTFUEL
0,39210.49395,,EL2_1,TRHV_1_2,EL2_2
1,39210.49395,,EL2_2,TRHV_2_9,EL2_9
2,39210.49395,,EL2_2,TRHV_2_1,EL2_1
3,39210.49395,,EL2_2,TRHV_2_3,EL2_3
4,39210.49395,,EL2_3,TRHV_3_10,EL2_10
5,39210.49395,,EL2_3,TRHV_3_2,EL2_2
6,39210.49395,,EL2_3,TRHV_3_4,EL2_4
7,39209.99996,,EL2_3,TRHV_3_377,EL2_377
8,39210.49395,,EL2_4,TRHV_4_11,EL2_11
9,39210.49395,,EL2_4,TRHV_4_3,EL2_3
10,39210.49395,,EL2_4,TRHV_4_5,EL2_5
11,39209.99996,,EL2_4,TRHV_4_378,EL2_378
12,39210.49395,,EL2_5,TRHV_5_12,EL2_12
13,39210.49395,,EL2_5,TRHV_5_4,EL2_4
14,39210.49395,,EL2_5,TRHV_5_6,EL2_6
15,39210.49395,,EL2_6,TRHV_6_13,EL2_13
16,39210.49395,,EL2_6,TRHV_6_5,EL2_5
17,39210.49395,,EL2_6,TRHV_6_7,EL2_7
18,39210.49395,,EL2_7,TRHV_7_14,EL2_14
19,39210.49395,,EL2_7,TRHV_7_6,EL2_6
20,39210.49395,KEEL00t00,KEEL2,TRHV_grid_19,EL2_19
21,39210.49395,KEEL00t00,KEEL2,TRHV_grid_9,EL2_9
22,39210.49395,KEEL00t00,KEEL2,TRHV_grid_1,EL2_1
23,39210.49395,,EL2_9,TRHV_9_10,EL2_10
24,39210.49395,,EL2_9,TRHV_9_2,EL2_2
25,39210.49395,,EL2_10,TRHV_10_9,EL2_9
26,39210.49395,,EL2_10,TRHV_10_11,EL2_11
27,39210.49395,,EL2_10,TRHV_10_3,EL2_3
28,39210.49395,,EL2_11,TRHV_11_22,EL2_22
29,39210.49395,,EL2_11,TRHV_11_10,EL2_10
30,39210.49395,,EL2_11,TRHV_11_12,EL2_12
31,39210.49395,,EL2_11,TRHV_11_4,EL2_4
32,39210.49395,,EL2_12,TRHV_12_23,EL2_23
33,39210.49395,,EL2_12,TRHV_12_11,EL2_11
34,39210.49395,,EL2_12,TRHV_12_13,EL2_13
35,39210.49395,,EL2_12,TRHV_12_5,EL2_5
36,39210.49395,,EL2_13,TRHV_13_24,EL2_24
37,39210.49395,,EL2_13,TRHV_13_12,EL2_12
38,39210.49395,,EL2_13,TRHV_13_14,EL2_14
39,39210.49395,,EL2_13,TRHV_13_6,EL2_6
40,39210.49395,,EL2_14,TRHV_14_25,EL2_25
41,39210.49395,,EL2_14,TRHV_14_13,EL2_13
42,39210.49395,,EL2_14,TRHV_14_15,EL2_15
43,39210.49395,,EL2_14,TRHV_14_7,EL2_7
44,39210.49395,,EL2_15,TRHV_15_26,EL2_26
45,39210.49395,,EL2_15,TRHV_15_14,EL2_14
46,39210.49395,,EL2_15,TRHV_15_16,EL2_16
47,39210.49395,,EL2_16,TRHV_16_27,EL2_27
48,39210.49395,,EL2_16,TRHV_16_15,EL2_15
49,39210.49395,,EL2_17,TRHV_17_31,EL2_31
50,39210.49395,,EL2_17,TRHV_17_18,EL2_18
51,39210.49395,,EL2_18,TRHV_18_32,EL2_32
52,39210.49395,,EL2_18,TRHV_18_17,EL2_17
53,39210.49395,,EL2_19,TRHV_19_35,EL2_35
54,39210.49395,KEEL00t00,KEEL2,TRHV_grid_36,EL2_36
57,39210.49395,KEEL00t00,KEEL2,TRHV_grid_37,EL2_37
58,39210.49395,KEEL00t00,KEEL2,TRHV_grid_22,EL2_22
59,39210.49395,KEEL00t00,KEEL2,TRHV_grid_10,EL2_10
60,39210.49395,,EL2_22,TRHV_22_38,EL2_38
61,39210.49395,,EL2_22,TRHV_22_23,EL2_23
62,39210.49395,,EL2_22,TRHV_22_11,EL2_11
63,39210.49395,,EL2_23,TRHV_23_39,EL2_39
64,39210.49395,,EL2_23,TRHV_23_22,EL2_22
65,39210.49395,,EL2_23,TRHV_23_24,EL2_24
66,39210.49395,,EL2_23,TRHV_23_12,EL2_12
67,39210.49395,,EL2_24,TRHV_24_40,EL2_40
68,39210.49395,,EL2_24,TRHV_24_23,EL2_23
69,39210.49395,,EL2_24,TRHV_24_25,EL2_25
70,39210.49395,,EL2_24,TRHV_24_13,EL2_13
71,39210.49395,,EL2_25,TRHV_25_41,EL2_41
72,39210.49395,,EL2_25,TRHV_25_24,EL2_24
73,39210.49395,,EL2_25,TRHV_25_26,EL2_26
74,39210.49395,,EL2_25,TRHV_25_14,EL2_14
75,39210.49395,,EL2_26,TRHV_26_25,EL2_25
76,39210.49395,,EL2_26,TRHV_26_27,EL2_27
77,39210.49395,,EL2_26,TRHV_26_15,EL2_15
78,39210.49395,,EL2_27,TRHV_27_26,EL2_26
79,39210.49395,,EL2_27,TRHV_27_28,EL2_28
80,39210.49395,,EL2_27,TRHV_27_16,EL2_16
81,39210.49395,,EL2_28,TRHV_28_44,EL2_44
82,39210.49395,,EL2_28,TRHV_28_27,EL2_27
83,39210.49395,,EL2_28,TRHV_28_29,EL2_29
84,39210.49395,,EL2_29,TRHV_29_45,EL2_45
85,39210.49395,,EL2_29,TRHV_29_28,EL2_28
