Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,elec
EL3_1_0,0,0,0.189524494,0.379048988,0.568573481,0.758097975,0.947622469,1.137146963,1.326671457,1.51619595,1.705720444,1.895244938,2.084769432,2.274293926,2.46381842,2.46381842,2.46381842,2.46381842,2.46381842,2.46381842,2.46381842,2.46381842,2.46381842,2.46381842,2.46381842,0
EL3_1_1,0.028418487,0.030468135,0.03246527,0.034308099,0.036369285,0.038546928,0.041469898,0.044209448,0.047167355,0.05125781,0.055129906,0.058847697,0.063712592,0.068059253,0.072670853,0.077530033,0.082700736,0.088200431,0.094061144,0.100317811,0.10659777,0.113407609,0.118143365,0.123967269,0.129791172,1
EL3_2_0,0,0,0.082706881,0.165413762,0.248120642,0.330827523,0.413534404,0.496241285,0.578948166,0.661655047,0.744361927,0.827068808,0.909775689,0.99248257,1.075189451,1.075189451,1.075189451,1.075189451,1.075189451,1.075189451,1.075189451,1.075189451,1.075189451,1.075189451,1.075189451,0
EL3_3_0,0,0,0.057713559,0.115427118,0.173140678,0.230854237,0.288567796,0.346281355,0.403994915,0.461708474,0.519422033,0.577135592,0.634849151,0.692562711,0.75027627,0.75027627,0.75027627,0.75027627,0.75027627,0.75027627,0.75027627,0.75027627,0.75027627,0.75027627,0.75027627,0
EL3_4_0,0,0,0.103706061,0.207412121,0.311118182,0.414824242,0.518530303,0.622236363,0.725942424,0.829648484,0.933354545,1.037060605,1.140766666,1.244472726,1.348178787,1.348178787,1.348178787,1.348178787,1.348178787,1.348178787,1.348178787,1.348178787,1.348178787,1.348178787,1.348178787,0
EL3_5_0,0,0,0.117761775,0.23552355,0.353285325,0.4710471,0.588808875,0.70657065,0.824332425,0.9420942,1.059855975,1.17761775,1.295379525,1.4131413,1.530903075,1.530903075,1.530903075,1.530903075,1.530903075,1.530903075,1.530903075,1.530903075,1.530903075,1.530903075,1.530903075,0
EL3_5_1,0.24740763,0.265251598,0.282638391,0.298681818,0.316626235,0.335584514,0.361031508,0.38488167,0.410632823,0.446243783,0.479953751,0.512320353,0.554673493,0.592514948,0.632662939,0.674966324,0.719981788,0.767861413,0.818884009,0.873353735,0.928026233,0.987311803,1.028540675,1.079242818,1.129944962,1
EL3_6_0,0,0,0.012034745,0.02406949,0.036104235,0.04813898,0.060173725,0.07220847,0.084243215,0.096277961,0.108312706,0.120347451,0.132382196,0.144416941,0.156451686,0.156451686,0.156451686,0.156451686,0.156451686,0.156451686,0.156451686,0.156451686,0.156451686,0.156451686,0.156451686,0
EL3_6_1,0.007036261,0.007543743,0.008038222,0.008494497,0.009004835,0.009544008,0.010267719,0.010946016,0.011678378,0.012691152,0.013649862,0.014570366,0.015774888,0.016851097,0.017992904,0.01919601,0.020476248,0.021837942,0.023289022,0.024838139,0.026393022,0.028079101,0.029251648,0.030693614,0.032135581,1
EL3_7_0,0,0,0.005189096,0.010378192,0.015567288,0.020756384,0.025945479,0.031134575,0.036323671,0.041512767,0.046701863,0.051890959,0.057080055,0.062269151,0.067458246,0.067458246,0.067458246,0.067458246,0.067458246,0.067458246,0.067458246,0.067458246,0.067458246,0.067458246,0.067458246,0
