,Column,Fuel,Technology,Inputactivity,ModeofOperation
0,0,EL2_1,TRLV_1_1,1,1
1,0,EL2_1,TRLV_1_0,1,1
2,0,KEEL2,KEEL00d_1,1,1
3,0,SOLAR_1,SOPV_1_1,1,1
4,0,SOLAR_1,SOPV_1_0,1,1
5,0,SOLAR_1,SOPV8h_1_1,1,1
6,0,SOLAR_1,SOPV8h_1_0,1,1
7,0,SOLAR_1,SOPV12h_1_1,1,1
8,0,SOLAR_1,SOPV12h_1_0,1,1
11,0,SOLAR_5,SOPV12h_5_0,1,1
10,0,KEEL2_1,TRLV_1_1,1,1
22,0,SOLAR_6,SOPV12h_6_0,1,1
12,0,KEEL2_5,TRLV_5_1,1,1
13,0,KEEL2_5,TRLV_5_0,1,1
14,0,EL2_6,TRLV_6_1,1,1
15,0,EL2_6,TRLV_6_0,1,1
16,0,KEEL2,KEEL00d_6,1,1
17,0,SOLAR_6,SOPV_6_1,1,1
18,0,SOLAR_6,SOPV_6_0,1,1
19,0,SOLAR_6,SOPV8h_6_1,1,1
20,0,SOLAR_6,SOPV8h_6_0,1,1
21,0,SOLAR_6,SOPV12h_6_1,1,1
33,0,SOLAR_8,SOPV12h_8_0,1,1
23,0,KEEL2_6,TRLV_6_1,1,1
24,0,KEEL2_6,TRLV_6_0,1,1
25,0,EL2_8,TRLV_8_1,1,1
26,0,EL2_8,TRLV_8_0,1,1
27,0,KEEL2,KEEL00d_8,1,1
28,0,SOLAR_8,SOPV_8_1,1,1
29,0,SOLAR_8,SOPV_8_0,1,1
30,0,SOLAR_8,SOPV8h_8_1,1,1
31,0,SOLAR_8,SOPV8h_8_0,1,1
32,0,SOLAR_8,SOPV12h_8_1,1,1
44,0,SOLAR_17,SOPV12h_17_0,1,1
34,0,KEEL2_8,TRLV_8_1,1,1
35,0,KEEL2_8,TRLV_8_0,1,1
36,0,EL2_17,TRLV_17_1,1,1
37,0,EL2_17,TRLV_17_0,1,1
38,0,KEEL2,KEEL00d_17,1,1
39,0,SOLAR_17,SOPV_17_1,1,1
40,0,SOLAR_17,SOPV_17_0,1,1
41,0,SOLAR_17,SOPV8h_17_1,1,1
42,0,SOLAR_17,SOPV8h_17_0,1,1
43,0,SOLAR_17,SOPV12h_17_1,1,1
55,0,SOLAR_30,SOPV12h_30_0,1,1
45,0,KEEL2_17,TRLV_17_1,1,1
46,0,KEEL2_17,TRLV_17_0,1,1
47,0,EL2_30,TRLV_30_1,1,1
48,0,EL2_30,TRLV_30_0,1,1
49,0,KEEL2,KEEL00d_30,1,1
50,0,SOLAR_30,SOPV_30_1,1,1
51,0,SOLAR_30,SOPV_30_0,1,1
52,0,SOLAR_30,SOPV8h_30_1,1,1
53,0,SOLAR_30,SOPV8h_30_0,1,1
54,0,SOLAR_30,SOPV12h_30_1,1,1
66,0,SOLAR_33,SOPV12h_33_0,1,1
56,0,KEEL2_30,TRLV_30_1,1,1
57,0,KEEL2_30,TRLV_30_0,1,1
58,0,EL2_33,TRLV_33_1,1,1
59,0,EL2_33,TRLV_33_0,1,1
60,0,KEEL2,KEEL00d_33,1,1
61,0,SOLAR_33,SOPV_33_1,1,1
62,0,SOLAR_33,SOPV_33_0,1,1
63,0,SOLAR_33,SOPV8h_33_1,1,1
64,0,SOLAR_33,SOPV8h_33_0,1,1
65,0,SOLAR_33,SOPV12h_33_1,1,1
77,0,SOLAR_34,SOPV12h_34_0,1,1
67,0,KEEL2_33,TRLV_33_1,1,1
68,0,KEEL2_33,TRLV_33_0,1,1
69,0,EL2_34,TRLV_34_1,1,1
70,0,EL2_34,TRLV_34_0,1,1
71,0,KEEL2,KEEL00d_34,1,1
72,0,SOLAR_34,SOPV_34_1,1,1
73,0,SOLAR_34,SOPV_34_0,1,1
74,0,SOLAR_34,SOPV8h_34_1,1,1
75,0,SOLAR_34,SOPV8h_34_0,1,1
76,0,SOLAR_34,SOPV12h_34_1,1,1
