Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EL3_1_0,0,0,0.189524494,0.379048988,0.568573481,0.762248562,0.955923642,1.149598722,1.343273802,1.532798296,1.72232279,1.911847284,2.101371778,2.290896271,2.46381842,2.537732972,2.613864961,2.69228091,2.773049337,2.856240818,2.941928042,3.030185883,3.12109146,3.214724204,3.31116593
EL3_1_1,0.027632724,0.030468135,0.03246527,0.034308099,0.036369285,0.038545778,0.041467598,0.044205998,0.047162755,0.051253209,0.055125306,0.058843097,0.063707992,0.068054653,0.072670853,0.077509553,0.082659161,0.088137129,0.093975462,0.100209079,0.106465295,0.11325068,0.117961248,0.123759208,0.129556389
EL3_2_0,0,0,0.082706881,0.165413762,0.248120642,0.332638804,0.417156966,0.501675127,0.586193289,0.668900169,0.75160705,0.834313931,0.917020812,0.999727693,1.075189451,1.107445134,1.140668488,1.174888543,1.210135199,1.246439255,1.283832433,1.322347406,1.362017828,1.402878363,1.444964714
EL3_3_0,0,0,0.057713559,0.115427118,0.173140678,0.232118164,0.29109565,0.350073136,0.409050622,0.466764182,0.524477741,0.5821913,0.639904859,0.697618418,0.75027627,0.772784558,0.795968095,0.819847138,0.844442552,0.869775828,0.895869103,0.922745176,0.950427531,0.978940357,1.008308568
EL3_4_0,0,0,0.103706061,0.207412121,0.311118182,0.417095405,0.523072628,0.629049851,0.735027075,0.838733135,0.942439196,1.046145256,1.149851317,1.253557377,1.348178787,1.388624151,1.430282875,1.473191361,1.517387102,1.562908715,1.609795977,1.658089856,1.707832552,1.759067528,1.811839554
EL3_5_0,0,0,0.117761775,0.23552355,0.353285325,0.473626083,0.593966841,0.714307599,0.834648357,0.952410132,1.070171907,1.187933682,1.305695457,1.423457232,1.530903075,1.576830167,1.624135072,1.672859125,1.723044898,1.774736245,1.827978333,1.882817683,1.939302213,1.99748128,2.057405718
EL3_5_1,0.240566879,0.265251598,0.282638391,0.298681818,0.316626235,0.335574501,0.361011484,0.384851634,0.410592775,0.446203734,0.479913703,0.512280304,0.554633445,0.5924749,0.632662939,0.674788025,0.719619843,0.767310311,0.818138076,0.872407126,0.926872928,0.9859456,1.026955188,1.077431468,1.127900973
EL3_6_0,0,0,0.012034745,0.02406949,0.036104235,0.048402541,0.060700847,0.072999153,0.085297459,0.097332204,0.109366949,0.121401694,0.133436439,0.145471185,0.156451686,0.161145236,0.165979594,0.170958981,0.176087751,0.181370383,0.186811495,0.19241584,0.198188315,0.204133964,0.210257983
EL3_6_1,0.006841711,0.007543743,0.008038222,0.008494497,0.009004835,0.009543723,0.010267149,0.010945162,0.011677239,0.012690013,0.013648723,0.014569227,0.015773749,0.016849958,0.017992904,0.019190939,0.020465954,0.021822269,0.023267808,0.024811217,0.026360222,0.028040246,0.029206556,0.030642099,0.03207745
EL3_7_0,0,0,0.005189096,0.010378192,0.015567288,0.020870025,0.026172762,0.031475499,0.036778236,0.041967332,0.047156428,0.052345524,0.05753462,0.062723715,0.067458246,0.069481994,0.071566454,0.073713447,0.075924851,0.078202596,0.080548674,0.082965134,0.085454088,0.088017711,0.090658242
EL3_8_0,0,0,0.194063992,0.388127984,0.582191976,0.78050597,0.978819963,1.177133957,1.37544795,1.569511943,1.763575935,1.957639927,2.151703919,2.345767911,2.522831897,2.598516854,2.67647236,2.756766531,2.839469527,2.924653612,3.012393221,3.102765017,3.195847968,3.291723407,3.390475109
EL3_8_1,4.450310007,4.90695912,5.228601982,5.525393545,5.85735204,6.207881014,6.678446447,7.119471657,7.595663799,8.254440307,8.878049883,9.476808162,10.26031005,10.96034909,11.70379821,12.48308127,13.31243686,14.19467537,15.13495157,16.13888901,17.14646621,18.23926712,18.99791428,19.93168827,20.86533692
EL3_9_0,0,0,0.070053409,0.140106818,0.210160227,0.281747806,0.353335384,0.424922963,0.496510542,0.566563951,0.63661736,0.706670769,0.776724178,0.846777587,0.910694317,0.938015147,0.966155601,0.995140269,1.024994477,1.055744312,1.087416641,1.12003914,1.153640315,1.188249524,1.22389701
EL3_10_0,0,0,0.049419977,0.098839953,0.14825993,0.198762204,0.249264478,0.299766752,0.350269026,0.399689002,0.449108979,0.498528955,0.547948932,0.597368908,0.642459695,0.661733486,0.68158549,0.702033055,0.723094046,0.744786868,0.767130474,0.790144388,0.81384872,0.838264181,0.863412107
EL3_11_0,0,0,0.076732111,0.153464223,0.230196334,0.308608879,0.387021423,0.465433968,0.543846512,0.620578624,0.697310735,0.774042846,0.850774958,0.927507069,0.997517447,1.027442971,1.05826626,1.090014248,1.122714675,1.156396116,1.191087999,1.226820639,1.263625258,1.301534016,1.340580036
EL3_12_0,0,0,0.15537811,0.31075622,0.46613433,0.62491522,0.783696111,0.942477001,1.101257891,1.256636001,1.412014111,1.567392221,1.722770331,1.878148441,2.019915428,2.080512891,2.142928278,2.207216126,2.27343261,2.341635588,2.411884656,2.484241195,2.558768431,2.635531484,2.714597429
EL3_13_0,0,0,0.006153688,0.012307376,0.018461064,0.024749517,0.031037971,0.037326425,0.043614878,0.049768566,0.055922254,0.062075942,0.06822963,0.074383318,0.079997943,0.082397881,0.084869817,0.087415912,0.090038389,0.092739541,0.095521727,0.098387379,0.101339,0.10437917,0.107510545
EL3_14_0,0,0,0.016880599,0.033761198,0.050641797,0.067892081,0.085142366,0.10239265,0.119642934,0.136523533,0.153404132,0.170284731,0.187165331,0.20404593,0.219447788,0.226031222,0.232812159,0.239796523,0.246990419,0.254400132,0.262032135,0.2698931,0.277989893,0.286329589,0.294919477
