Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EL3_1_0,0,0,0,0,0,442.2683895,937.6089857,1490.798287,2106.994913,2791.768259,3551.129226,4391.563142,5320.065064,6344.177589,7472.031382,7920.353265,8395.574461,8899.308929,9433.267465,9999.263512,10599.21932,11235.17248,11909.28283,12623.8398,13381.27019
EL3_1_1,412.7447384,455.0967893,485.7119961,498.8017365,511.4131144,554.7728946,597.4719927,633.741907,676.2940753,721.0078484,774.6318525,832.6486527,899.6266994,972.2164896,1062.459633,1156.403198,1259.016196,1359.72165,1471.773168,1593.898925,1735.306943,1862.02147,2043.348866,2213.739962,2393.18471
EL3_2_0,0,0,0,0,0,111.5641011,236.5158943,376.0602719,531.4985176,704.2355358,895.7876015,1107.790667,1342.009265,1600.346049,1884.852013,1997.943134,2117.819722,2244.888905,2379.58224,2522.357174,2673.698605,2834.120521,3004.167752,3184.417817,3375.482886
EL3_3_0,0,0,0,0,0,72.88867804,154.5239975,245.6931559,347.2463271,460.1013834,585.2489596,723.7578801,876.7809747,1045.561312,1231.438879,1305.325212,1383.644724,1466.663408,1554.663212,1647.943005,1746.819585,1851.628761,1962.726486,2080.490075,2205.31948
EL3_4_0,0,0,0,0,0,120.4761457,255.4094289,406.1009919,573.9560685,760.4917908,967.3455579,1196.284007,1449.212625,1728.186055,2035.419132,2157.54428,2286.996937,2424.216753,2569.669758,2723.849944,2887.28094,3060.517797,3244.148864,3438.797796,3645.125664
EL3_5_0,0,0,0,0,0,200.5497314,425.1654306,676.0130346,955.4317556,1265.947076,1610.284681,1991.385389,2412.421156,2876.812229,3388.245514,3591.540245,3807.03266,4035.454619,4277.581897,4534.23681,4806.291019,5094.66848,5400.348589,5724.369504,6067.831675
EL3_5_1,550.0657241,606.5083855,647.3093318,664.7540546,681.5612626,739.346927,796.2520989,844.5890849,901.2984433,960.8885766,1032.353392,1109.672496,1198.93427,1295.674826,1415.94204,1541.140814,1677.893359,1812.103715,1961.434994,2124.192229,2312.646974,2481.519672,2723.17505,2950.255598,3189.401966
EL3_6_0,0,0,0,0,0,114.5630601,242.8736875,386.1691631,545.7857505,723.1661194,919.8673038,1137.569232,1378.08387,1643.365015,1935.518796,2051.649923,2174.748919,2305.233854,2443.547885,2590.160758,2745.570404,2910.304628,3084.922906,3270.01828,3466.219377
EL3_6_1,973.914407,1073.848503,1146.088288,1176.974901,1206.732766,1309.044706,1409.797697,1495.380355,1595.78665,1701.293477,1827.824927,1964.721639,2122.76335,2294.046557,2506.984697,2728.654371,2970.780479,3208.405538,3472.802822,3760.971326,4094.638345,4393.634532,4821.495501,5223.551124,5646.969786
EL3_8_0,0,0,0,0,0,273.7981306,580.4520369,922.9187387,1304.391817,1728.319158,2198.421969,2718.715168,3293.529233,3927.53361,4625.761807,4903.307516,5197.505967,5509.356325,5839.917704,6190.312766,6561.731532,6955.435424,7372.76155,7815.127243,8284.034877
EL3_8_1,6281.04375,6925.546416,7391.440795,7590.637113,7782.553832,8442.391866,9092.175808,9644.122077,10291.67008,10972.11283,11788.14919,12671.034,13690.28877,14794.94161,16168.23866,17597.84778,19159.38611,20691.89593,22397.06724,24255.54573,26407.45675,28335.76597,31095.15986,33688.12793,36418.87216
EL3_9_0,0,0,0,0,0,136.0385645,288.4017568,458.5587933,648.0964279,858.727767,1092.30172,1350.813127,1636.413616,1951.423237,2298.342924,2436.243499,2582.418109,2737.363196,2901.604988,3075.701287,3260.243364,3455.857966,3663.209444,3883.002011,4115.982131
EL3_10_0,0,0,0,0,0,16.35076434,34.66362041,55.11515645,77.89608778,103.2123163,131.2860663,162.3571021,196.6840322,234.5457084,276.2427232,292.8172866,310.3863238,329.0095032,348.7500734,369.6750778,391.8555825,415.3669175,440.2889325,466.7062685,494.7086446
EL3_11_0,0,0,0,0,0,183.5391393,389.1029754,618.6737308,874.3922062,1158.569673,1473.700624,1822.476439,2207.800029,2632.801534,3100.85514,3286.906449,3484.120836,3693.168086,3914.758171,4149.643661,4398.622281,4662.539618,4942.291995,5238.829515,5553.159285
EL3_11_1,170.8900106,188.4251643,201.1008753,206.520462,211.7419907,229.6943778,247.3732205,262.3901679,280.0081769,298.5211619,320.7232781,344.7441575,372.4752902,402.5298708,439.893525,478.7892767,521.2744611,562.9698591,609.3629038,659.9270175,718.474627,770.9386436,846.0141995,916.5617643,990.8578412
