Timeslice,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
ND_N,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016
ND_E,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633
ND_D,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639
MJJ_N,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647
MJJ_E,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168
MJJ_D,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198
JFMA_N,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539
JFMA_E,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393
JFMA_D,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192
ASO_N,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647
ASO_E,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168
ASO_D,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198
